,uv,temp,drain_piezo,humidity,maxdailygust,soilmoisture2,solarradiation
309,0.0,18.000000000000004,0.0,60.0,16.560149759999998,30.0,0.0
310,0.0,18.000000000000004,0.0,59.0,16.560149759999998,30.0,0.0
311,0.0,18.000000000000004,0.0,60.0,16.560149759999998,30.0,0.0
312,0.0,18.000000000000004,0.0,59.0,16.560149759999998,30.0,0.0
313,0.0,18.000000000000004,0.0,60.0,16.560149759999998,30.0,0.0
314,0.0,18.000000000000004,0.0,60.0,16.560149759999998,30.0,0.0
315,0.0,18.000000000000004,0.0,60.0,16.560149759999998,30.0,0.0
316,0.0,18.000000000000004,0.0,60.0,16.560149759999998,30.0,0.0
317,0.0,18.000000000000004,0.0,60.0,16.560149759999998,30.0,0.0
318,0.0,17.88888888888889,0.0,60.0,16.560149759999998,30.0,0.0
319,0.0,17.88888888888889,0.0,60.0,16.560149759999998,30.0,0.0
320,0.0,17.88888888888889,0.0,62.0,16.560149759999998,30.0,0.0
321,0.0,17.88888888888889,0.0,61.0,16.560149759999998,30.0,0.0
322,0.0,17.88888888888889,0.0,61.0,16.560149759999998,30.0,0.0
323,0.0,17.88888888888889,0.0,61.0,16.560149759999998,30.0,0.0
324,0.0,17.88888888888889,0.0,61.0,16.560149759999998,30.0,0.0
325,0.0,17.88888888888889,0.0,62.0,16.560149759999998,30.0,0.0
326,0.0,17.88888888888889,0.0,61.0,16.560149759999998,30.0,0.0
327,0.0,17.88888888888889,0.0,61.0,16.560149759999998,30.0,0.0
328,0.0,17.77777777777778,0.0,62.0,16.560149759999998,30.0,0.0
329,0.0,17.77777777777778,0.0,62.0,16.560149759999998,30.0,0.0
330,0.0,17.77777777777778,0.0,61.0,16.560149759999998,30.0,0.0
331,0.0,17.77777777777778,0.0,62.0,16.560149759999998,30.0,0.0
332,0.0,17.77777777777778,0.0,62.0,16.560149759999998,30.0,0.0
333,0.0,17.77777777777778,0.0,62.0,16.560149759999998,30.0,0.0
334,0.0,17.77777777777778,0.0,62.0,16.560149759999998,30.0,0.0
335,0.0,17.77777777777778,0.0,62.0,16.560149759999998,30.0,0.0
336,0.0,17.72222222222222,0.0,62.0,16.560149759999998,30.0,0.0
337,0.0,17.72222222222222,0.0,62.0,16.560149759999998,30.0,0.0
338,0.0,17.72222222222222,0.0,63.0,16.560149759999998,30.0,0.0
339,0.0,17.72222222222222,0.0,63.0,16.560149759999998,30.0,0.0
340,0.0,17.72222222222222,0.0,63.0,16.560149759999998,30.0,0.0
341,0.0,17.72222222222222,0.0,63.0,16.560149759999998,30.0,0.0
342,0.0,17.72222222222222,0.0,63.0,16.560149759999998,30.0,0.0
343,0.0,17.72222222222222,0.0,62.0,16.560149759999998,30.0,0.0
344,0.0,17.61111111111111,0.0,63.0,16.560149759999998,30.0,0.0
345,0.0,17.61111111111111,0.0,63.0,16.560149759999998,30.0,0.0
346,0.0,17.61111111111111,0.0,63.0,16.560149759999998,30.0,0.0
347,0.0,17.61111111111111,0.0,63.0,16.560149759999998,30.0,0.0
348,0.0,17.61111111111111,0.0,63.0,16.560149759999998,30.0,0.0
349,0.0,17.5,0.0,63.0,16.560149759999998,30.0,0.0
350,0.0,17.5,0.0,63.0,16.560149759999998,30.0,0.0
351,0.0,17.5,0.0,63.0,16.560149759999998,30.0,0.0
352,0.0,17.5,0.0,63.0,16.560149759999998,30.0,0.0
353,0.0,17.5,0.0,64.0,16.560149759999998,30.0,0.0
